scenario,peak_server_load,peak_committed_server_load,peak_server_overbooking_ratio,gamma_count,phi_count,active_server_periods,peak_cluster_load,peak_cluster_committed_load,peak_cluster_overbooking_ratio,peak_server_utilization
scen_01,7.985844615813118,7.985844615813116,0.9982305769766395,0,0,96,29.983446263221925,29.983446263221925,0.9369826957256852,0.9982305769766397
scen_02,7.994443490603464,7.994443490603465,0.9993054363254331,0,0,96,29.308202249503182,29.308202249503182,0.9158813202969744,0.999305436325433
scen_03,7.937796170598521,8.593221979640223,1.0741527474550279,0,0,96,29.570681733996196,29.570681733996196,0.9240838041873811,0.9922245213248151
scen_04,7.995853321044031,8.049972594930333,1.0062465743662916,0,0,96,28.421039329582122,28.421039329582122,0.8881574790494413,0.9994816651305038
scen_05,7.991628256610505,9.116133430310247,1.139516678788781,0,0,96,29.586856117752532,29.586856117752532,0.9245892536797666,0.9989535320763131
scen_06,7.98997915708437,8.57192837581142,1.0714910469764276,0,0,96,28.89215803271643,28.89215803271643,0.9028799385223885,0.9987473946355463
scen_07,7.980965731374568,7.980965731374568,0.997620716421821,0,0,96,29.598389024557388,29.598389024557388,0.9249496570174184,0.997620716421821
scen_08,7.98366003115023,8.033607682560714,1.0042009603200892,0,0,96,30.429618759133838,30.429618759133838,0.9509255862229324,0.9979575038937788
scen_09,7.998308241580209,8.641562381722892,1.0801952977153615,0,0,96,29.419813066430656,29.41981306643066,0.9193691583259581,0.9997885301975261
scen_10,7.993358031300442,8.149844447681385,1.0187305559601731,0,0,96,29.115890459604564,29.115890459604564,0.9098715768626426,0.9991697539125552
